name,label,type,fieldType
about_us,About Us,string,text
address,Street Address,string,text
address2,Street Address 2,string,text
adoption_start_date,Adoption Start Date,datetime,date
aircall_last_sms_at,Last Aircall SMS timestamp,datetime,date
aircall_last_sms_direction,Last Aircall SMS direction,string,text
annualrevenue,Annual Revenue,number,number
chartmogul_arr,ChartMogul ARR,number,number
chartmogul_billing_cycles,ChartMogul Billing Cycles,string,text
chartmogul_customer_record_link,ChartMogul Customer Record Link,string,text
chartmogul_customer_status,ChartMogul Customer Status,string,text
chartmogul_external_ids,ChartMogul External IDs,string,text
chartmogul_lead_created_at,ChartMogul Lead created at,datetime,date
chartmogul_mrr,ChartMogul MRR,number,number
chartmogul_net_payments,ChartMogul Net Payments,number,number
chartmogul_plans,ChartMogul Plans,string,text
chartmogul_subscriber_since,ChartMogul Subscriber Since,datetime,date
chartmogul_trial_started_at,ChartMogul Trial started at,datetime,date
churned,Churned,enumeration,booleancheckbox
churned_date,Churned Date,date,date
churned_type,Churned type,enumeration,select
churnedreason,Churned reason,string,text
city,City,string,text
closedate,Close Date,datetime,date
country,Country/Region,string,text
createdate,Create Date,datetime,date
cs_segment,CS Segment,enumeration,select
cs_start_date,CS Start Date,datetime,date
customer_onboarding1,Customer_Onboarding,enumeration,select
customer_success_manager_assigned,CSM Asignado,enumeration,select
days_to_close,Days to Close,number,calculation_equation
description,Description,string,textarea
domain,Company Domain Name,string,text
engagements_last_meeting_booked,Date of last meeting booked in meetings tool,datetime,date
engagements_last_meeting_booked_campaign,Campaign of last booking in meetings tool,string,text
engagements_last_meeting_booked_medium,Medium of last booking in meetings tool,string,text
engagements_last_meeting_booked_source,Source of last booking in meetings tool,string,text
etapa_en_cs,Etapa en CS,enumeration,select
facebook_company_page,Facebook Company Page,string,text
facebookfans,Facebook Fans,number,number
first_contact_createdate,First Contact Create Date,datetime,date
first_contact_createdate_timestamp_earliest_value_78b50eea,first_contact_createdate_timestamp_earliest_value_78b50eea,datetime,text
first_conversion_date,First Conversion Date,datetime,date
first_conversion_event_name,First Conversion,string,text
first_deal_created_date,First Deal Created Date,datetime,date
founded_year,Year Founded,string,text
googleplus_page,Google Plus Page,string,text
hs_additional_domains,Additional Domains,enumeration,checkbox
hs_all_accessible_team_ids,All teams,enumeration,select
hs_all_assigned_business_unit_ids,Brands,enumeration,checkbox
hs_all_owner_ids,All owner IDs,enumeration,select
hs_all_team_ids,All team IDs,enumeration,select
hs_analytics_first_timestamp,Time First Seen,datetime,date
hs_analytics_first_touch_converting_campaign,First Touch Converting Campaign,string,text
hs_analytics_first_visit_timestamp,Time of First Session,datetime,date
hs_analytics_last_timestamp,Time Last Seen,datetime,date
hs_analytics_last_timestamp_timestamp_latest_value_4e16365a,hs_analytics_last_timestamp_timestamp_latest_value_4e16365a,datetime,text
hs_analytics_last_touch_converting_campaign,Last Touch Converting Campaign,string,text
hs_analytics_last_touch_converting_campaign_timestamp_latest_value_81a64e30,hs_analytics_last_touch_converting_campaign_timestamp_latest_value_81a64e30,datetime,text
hs_analytics_last_visit_timestamp,Time of Last Session,datetime,date
hs_analytics_last_visit_timestamp_timestamp_latest_value_999a0fce,hs_analytics_last_visit_timestamp_timestamp_latest_value_999a0fce,datetime,text
hs_analytics_latest_source,Latest Traffic Source,enumeration,select
hs_analytics_latest_source_data_1,Latest Traffic Source Data 1,string,text
hs_analytics_latest_source_data_2,Latest Traffic Source Data 2,string,text
hs_analytics_latest_source_timestamp,Latest Traffic Source Timestamp,datetime,date
hs_analytics_num_page_views,Number of Pageviews,number,number
hs_analytics_num_page_views_cardinality_sum_e46e85b0,hs_analytics_num_page_views_cardinality_sum_e46e85b0,number,text
hs_analytics_num_visits,Number of Sessions,number,number
hs_analytics_num_visits_cardinality_sum_53d952a6,hs_analytics_num_visits_cardinality_sum_53d952a6,number,text
hs_analytics_source,Original Traffic Source,enumeration,select
hs_analytics_source_data_1,Original Traffic Source Drill-Down 1,string,text
hs_analytics_source_data_2,Original Traffic Source Drill-Down 2,string,text
hs_annual_revenue_currency_code,Annual Revenue Currency Code,string,calculation_equation
hs_avatar_filemanager_key,Avatar FileManager key,string,text
hs_calculated_phone_number,Calculated Phone Number in International Format,string,phonenumber
hs_count_intent_signals_created_last_14_days,Count Intent Signals Created Last 14 Days,number,number
hs_count_intent_signals_created_last_30_days,Count Intent Signals Created Last 30 Days,number,number
hs_count_intent_signals_created_last_7_days,Count Intent Signals Created Last 7 Days,number,number
hs_country_code,Country/Region Code,string,text
hs_created_by_user_id,Created by user ID,number,number
hs_createdate,Object create date/time,datetime,date
hs_csm_sentiment,CSM Sentiment,enumeration,select
hs_current_customer,Current Customer,enumeration,select
hs_customer_success_ticket_sentiment,Recent Ticket Sentiment,number,number
hs_date_entered_customer,Date entered 'Cliente (Lifecycle Stage Pipeline)',datetime,calculation_read_time
hs_date_entered_evangelist,Date entered 'Evangelizador (Lifecycle Stage Pipeline)',datetime,calculation_read_time
hs_date_entered_lead,Date entered 'Lead (Lifecycle Stage Pipeline)',datetime,calculation_read_time
