sk_cliente,cliente_id_natural,chartmogul_id,external_id,email,nombre_cliente,empresa,pais_codigo,estado_cliente,lead_status,fecha_cliente_desde,mrr,arr,es_cliente_pago,es_activo,es_churn,es_past_due
1,cus_a77bf548-487c-459f-8ec5-925af90cf0f7,121052434,cus_NRTTIzqA4mZ9oY,factura@ayarcocr.com,Rodolfo Piza Goicoechea,,CR,Cancelled,New Lead,2023-02-28,0.0,0.0,0,0,1,0
2,cus_8f60e4a2-ce2e-4f89-ab9d-6828d80d239c,121052435,cus_NWcWd8UU3dEP1C,fe@managercr.com,Arquistatus S.A.,Arquistatus,CR,Active,New Lead,2023-03-14,12417.0,149004.0,1,1,0,0
3,cus_b130b685-733c-4cbb-ae55-f256de90dc7e,121640411,cus_Ne8TXRaHFW5PcR,smartinez@quirosrossi.com,Quiros Rossi,,CR,Cancelled,New Lead,2023-04-03,0.0,0.0,0,0,1,0
4,cus_6ccc02e7-90ab-40fb-bd89-18be94e7f99a,121848118,cus_Nh6wxxXHVzdcXv,frojas@ampm.co.cr,Inversiones AMPM S.A,AMPM,CR,Active,New Lead,2023-04-11,45000.0,540000.0,1,1,0,0
5,cus_f3fa17e0-0644-4a93-951f-5644c267adf8,123861796,cus_NrdHC8P9CzbAdN,mariano@fammarq.com,Felipe Apestegui,,CR,Cancelled,New Lead,2023-05-09,0.0,0.0,0,0,1,0
6,cus_ba3f5eae-7bf0-46fe-8727-57e21e59a201,124594272,cus_NwUQjmDd6KzcNS,csequeira@goldtropical.com,Importaciones Ottoky Cesar Sequeira,,CR,Cancelled,New Lead,2023-05-22,0.0,0.0,0,0,1,0
7,cus_8a411957-e56b-4350-8392-fc29d5aafdf0,125204282,cus_NzqWV46s0pfWZ7,administracion@naturalcr.com,Grupo Costa Rica Natural MS SA,Cédula Jurídica: 3-101-485900,CR,Cancelled,New Lead,2023-05-31,0.0,0.0,0,0,1,0
8,cus_80879f01-88b9-4f4f-b947-7262687d26f2,125251422,cus_O0EVIIRYVKukO2,info@incica.com,PAOLO ROJAS PORRAS,,CR,Cancelled,New Lead,2023-06-01,0.0,0.0,0,0,1,0
9,cus_573c09f9-b76c-4836-9bcb-0370bac7ab2d,125351079,cus_O1Q1nhxOdcCTrl,info@arquitrek.com,Arquitrek,,CR,Past Due,New Lead,2023-06-04,25000.0,300000.0,1,0,0,1
10,cus_d0d33d34-b0b3-4efd-9780-d79fefb631f8,128875527,cus_OBEYLPBMFKZUkp,lionunez@gmail.com,Leonardo Nuñez Alvarez,,CR,Active,New Lead,2023-07-01,9900.0,118800.0,1,1,0,0
11,cus_33c638c0-3377-436d-b080-abe7f77b5e44,129449607,cus_OHTdtHpZ6DCC1g,gloriana@ggdesigncr.com,Gloriana Gonzalez H,,CR,Past Due,New Lead,2023-07-17,14900.0,178800.0,1,0,0,1
12,cus_ea1ac3db-0dd0-42ee-871b-a2d1bfad82f4,130681958,cus_OKqCSwKyqfRSfy,immcrc@gmail.com,Mario Muñoz,,CR,Cancelled,New Lead,2023-07-26,0.0,0.0,0,0,1,0
13,cus_321467f6-25f6-4102-9bfa-8d612c542567,135990402,cus_OSKz3LjC3KIrDV,gustavo@lhc.cr,GUSTAVO HERNANDEZ,,CR,Cancelled,New Lead,2023-08-15,0.0,0.0,0,0,1,0
14,cus_4edbcf9e-2943-4f7e-abb9-0ce43d4a2fe1,136522337,cus_OT9V2tkA56wq0b,abravo@estudiob.co,Alexis Bravo elizondo,,CR,Cancelled,New Lead,2023-08-17,0.0,0.0,0,0,1,0
15,cus_4b5b8206-b64c-4940-a413-5303d2eb34c5,136801868,cus_OV3RSe1W6DDwSJ,estrategiacomercialcr@gmail.com,Estrategia Comercial MG SRL,,CR,Active,New Lead,2023-08-22,66666.0,799992.0,1,1,0,0
16,cus_7b076d11-099c-415d-a8ea-8c9287cc236d,137037580,cus_OVjRiZ4u9OIavn,suscripciones@portafolio.cr,Portafolio Inmobiliario,,CR,Cancelled,New Lead,2023-08-24,0.0,0.0,0,0,1,0
17,cus_6401f6b1-769d-4a83-8fe2-4cbe4cf970ba,137074102,cus_OVlKTwxZRmDCcK,p.pucci.ch@gmail.com,Hotle colobri,,CR,Cancelled,New Lead,2023-08-24,0.0,0.0,0,0,1,0
