sk_empresa,empresa_id_natural,nombre_empresa,dominio,fecha_creacion,fecha_modificacion
1,9030795416,GG Design,ggdesigncr.com,2022-07-01,2026-06-03
2,10096198829,VMC Construcción,vmcconstruccion.com,2022-11-16,2026-05-27
3,10097149851,CNGR Compañía Constructora SA,cngr.mawi.test,2022-11-16,2026-05-30
4,10113131121,Desarrollo Urbano,desarrollourbano.com,2022-11-17,2026-05-21
5,15646789785,dya.com.gtDya1Guatemala,dya.com.gt,2023-05-03,2026-05-21
6,15646836111,pmoelsalvador.comPMO EL SALVADOR1El Salvador,pmoelsalvador.com,2023-05-03,2026-05-27
7,15669510405,rudinaruitectura.comRudin Arquitectura1,rudinaruitectura.com,2023-05-05,2026-05-21
8,15669513099,blueaecstudio.comBlue AEC Studio1+507 395-2350Panama,blueaecstudio.com,2023-05-05,2026-05-21
9,15669547655,pancake.livePancake Live1United States,pancake.live,2023-05-05,2026-05-21
10,15669628854,summaqualitas.comSumma Qualitas1,summaqualitas.com,2023-05-05,2026-05-27
11,15674831245,Gold tropical,goldtropical.com,2023-05-06,2026-05-21
12,15688347058,AMPM,ampm.co.cr,2023-05-08,2026-06-03
13,15700008486,Quiros Rossi Arquitectos,quirosrossi.com,2023-05-09,2026-05-27
14,15700108590,Ayarco,ayarcocr.com,2023-05-09,2026-06-01
15,15700124717,Arquistatus,arquistatus.com,2023-05-09,2026-06-01
16,15702441657,Arquitreke,arquitreke.com,2023-05-10,2026-06-06
17,15733663901,gnadesarrollos.comGNA Desarrollos1+52 33 1597 7550Mexico,gnadesarrollos.com,2023-05-12,2026-05-21
18,15760006429,Incica,incica.com,2023-05-16,2026-06-01
19,15787267000,kuvaarquitectos,kuvaarquitectos.com,2023-05-18,2026-05-27
20,15787403699,Lhc,lhc.cr,2023-05-18,2026-05-21
21,15787820418,"k-design.com.cok-Design, Ingeniería y diseño1+57 310 4303940Colombia",k-design.com.co,2023-05-18,2026-05-21
22,15790508210,qualicons.comQualicons1+502 2387 6400Guatemala,qualicons.com,2023-05-18,2026-05-21
23,15790562449,atelierstudiosv.comatelierstudiosv.comAtelier - Creative Studio2El Salvador2El Salvador,atelierstudiosv.com,2023-05-18,2026-05-21
24,15796292987,CRN Architecture,naturalcr.com,2023-05-19,2026-05-21
25,15906880108,Constructora Romisa,romisacr.com,2023-05-31,2026-06-01
26,15917279015,estudiobca.comEstudio BCA1,estudiobca.com,2023-05-31,2026-05-21
27,15942852614,Block Constructora,blockcr.com,2023-06-02,2026-06-06
28,16096604251,simplearq.com.arSimple Arquitectos1+54 11 4832-6670Argentina,simplearq.com.ar,2023-06-16,2026-05-06
29,16378951805,huesolstice.comThe Steph - Andrea1,huesolstice.com,2023-07-11,2026-05-21
30,16674413376,abidestudiocr.comAbidestudiocr1Costa Rica,abidestudiocr.com,2023-07-22,2026-05-21
31,16924385121,proservicespainters.comProServices1United States,proservicespainters.com,2023-08-11,2026-05-21
32,16925300047,Victelectrica1,,2023-08-11,2026-05-21
33,16998680452,Estudiob,estudiob.co,2023-08-17,2026-05-27
34,17059346862,gcsconstruccion.comGCS Construcción1,gcsconstruccion.com,2023-08-22,2026-05-21
35,17143073099,Investing Costa Rica,investingcostarica.com,2023-08-29,2026-06-01
36,17253841751,Ubali Tropical,ubalicr.com,2023-09-07,2026-05-21
37,17369054638,Alfa,alfa.cr,2023-09-18,2026-05-27
38,17372264525,Jimenez Consulting,jimenez.mawi.test,2023-09-18,2026-05-21
39,17383841051,arquitectura.crarquitectura.cr1Costa Rica,arquitectura.cr,2023-09-19,2026-05-21
40,17459618173,Argo PM,argopm.net,2023-09-25,2026-06-04
41,17577193102,constructoraicon.comConstructora Icon1Costa Rica,constructoraicon.com,2023-10-04,2026-05-21
42,17577272092,Facoli Costa Rica,facoli.com,2023-10-04,2026-05-27
43,17616069798,Contact Sites,contact-sites.com,2023-10-09,2026-05-27
44,17617532071,meiracap.comMeira Capital1,meiracap.com,2023-10-09,2026-05-21
45,17618216527,gruporrd.comGrupo RRD1+502 6665 1212Guatemala,gruporrd.com,2023-10-09,2026-05-21
46,17770774373,MyS Construcciones1,,2023-10-23,2026-05-06
47,17838733634,planiestraconstructora.comPlaniestra Constructora1,planiestraconstructora.com,2023-10-27,2026-05-06
48,17920410005,grupoilaa.comgrupoilaa.com1United States,grupoilaa.com,2023-11-02,2026-05-06
49,18156635907,cylconstructora.comcylconstructora.com1,cylconstructora.com,2023-11-20,2026-05-06
50,18182062189,Morpho Travel Retail,morphotr.com,2023-11-22,2026-05-23
51,18994895187,grupocanid.comgrupocanid.comgrupo canid22,grupocanid.com,2024-02-06,2026-06-01
52,18999638649,roccacr.comROCCA Development Group1Costa Rica,roccacr.com,2024-02-06,2026-06-01
53,19158990611,avanzaconstructores.comAvanza Constructores1,avanzaconstructores.com,2024-02-20,2026-06-01
54,19165642607,Reyco,reyco.cr,2024-02-20,2026-05-06
55,19329267988,mawi.iomawi.ioMAWI HUB LLC3Costa Rica3Costa Rica,mawi.io,2024-03-01,2026-06-06
56,19331691436,Portafolio Inmobiliario,portafolio.cr,2024-03-01,2026-06-01
57,19332940144,T3 Desarrollos,t3cr.com,2024-03-01,2026-06-01
58,19367913294,CUBO CONSTRUYE,cuboconstruye.com,2024-03-04,2026-05-21
59,19369431394,Quinto,quinto.cr,2024-03-04,2026-05-21
60,19370880269,Euromobilia,euromobilia.com,2024-03-04,2026-05-22
61,19383485818,Arista,aristaint.com,2024-03-05,2026-05-21
62,19384213940,Icelmec,icelmec.com,2024-03-05,2026-05-06
63,19385317903,Edificadora del Este EEM,eemcr.com,2024-03-05,2026-05-21
64,19386329623,LGSE Proyectos,lgseproyectos.com,2024-03-05,2026-05-21
65,19396499517,Wink,holawink.com,2024-03-06,2026-05-21
66,19397310388,ISSECA SH,isseca.com,2024-03-06,2026-05-06
67,19397750576,Elecmeza SRL,elecmeza.com,2024-03-06,2026-05-06
68,19413504014,Suwo Constructora,suwoconstructora.com,2024-03-07,2026-05-21
