sk_tiempo,sk_evento,distinct_id,cantidad_eventos
939,31,3871,5
939,31,3900,1
939,31,4234,1
939,31,4425,1
939,31,717,1
939,31,system,7
939,22,generation_summary_20182,31
939,38,trace_summary_20182,25
939,8,019b9f62-b945-7de0-800b-d28e97f2c20e,15
939,8,019bbab0-eb03-7db8-8381-112e1557f42f,1
939,8,019e554c-2415-7586-9a66-2236fb11535d,1
939,8,019e9d5c-24d6-7933-8959-24cfc11c3652,4
939,8,019e9eeb-e67f-7332-8d2d-7e39a73cf3d3,3
939,8,1045,6
939,8,1087,5
939,8,1124,5
939,8,1165,12
939,8,1429,13
939,8,2025,94
939,8,2080,8
939,8,2179,253
939,8,2443,163
939,8,2456,38
939,8,2728,9
939,8,2907,11
939,8,3370,8
939,8,3457,52
939,8,3462,9
939,8,3601,15
939,8,3636,64
939,8,3864,146
939,8,3874,19
939,8,4042,688
939,8,4048,60
939,8,4099,298
939,8,4219,18
939,8,4297,2
939,8,4425,15
939,8,4637,189
939,8,4945,305
939,8,5101,57
939,8,5147,58
939,8,5171,121
939,8,5209,109
939,8,5246,94
939,8,5261,136
939,8,5301,278
939,8,5335,40
939,8,5353,15
939,8,5382,12
939,8,5471,9
939,8,5495,25
939,8,5556,11
939,16,1429,5
939,16,2025,29
939,16,2080,10
939,16,2179,6
939,16,2443,67
939,16,2456,14
939,16,2728,3
939,16,3457,4
939,16,3864,45
939,16,3874,12
939,16,4042,34
939,16,4099,35
939,16,4297,9
939,16,4425,12
939,16,4637,21
939,16,4945,344
939,16,5101,3
939,16,5147,1
939,16,5171,7
939,16,5209,21
939,16,5246,31
939,16,5261,15
939,16,5301,36
939,16,5335,4
939,16,5353,1
939,16,5471,4
939,16,5495,6
939,21,1045,5
939,21,1087,14
939,21,1429,1
939,21,2080,2
939,21,2179,4
939,21,2443,7
939,21,2456,7
939,21,2728,4
939,21,2907,3
939,21,3457,12
939,21,3874,4
939,21,4042,2
939,21,4048,1
939,21,4637,34
939,21,4945,9
939,21,5101,14
939,21,5209,1
939,21,5246,1
939,21,5261,1
939,21,5301,6
939,21,5353,10
939,21,5471,14
939,21,5495,3
939,21,5556,1
939,3,$company_1029,1
939,3,$company_3804,2
939,3,$company_3900,2
939,3,$company_4137,4
939,3,$company_4228,1
939,3,$company_4251,1
939,3,$company_464,1
939,3,$company_613,1
939,3,$company_705,1
939,3,$company_763,2
939,3,1045,3
939,3,1087,7
939,3,1429,5
939,3,2025,20
939,3,2080,4
939,3,2179,23
939,3,2443,61
939,3,2456,27
939,3,2728,6
939,3,2907,1
939,3,3216,2
939,3,3457,4
939,3,3462,2
939,3,3601,9
939,3,3629,2
939,3,3636,4
939,3,3864,26
939,3,3874,7
939,3,4042,40
939,3,4048,4
939,3,4099,45
939,3,4297,4
939,3,4425,9
939,3,4637,23
939,3,4945,229
939,3,5101,8
939,3,5147,15
939,3,5156,2
939,3,5171,32
939,3,5209,45
939,3,5246,35
939,3,5261,24
939,3,5301,76
939,3,5335,24
939,3,5353,4
939,3,5471,11
939,3,5495,9
939,3,5556,8
939,17,1429,1
939,17,2080,1
939,17,2443,1
939,17,2728,2
939,17,3457,1
939,17,3874,1
939,17,4637,4
939,17,5101,1
939,17,5147,1
939,17,5209,1
939,17,5335,2
939,17,5353,1
939,6,019e94af-9ffd-7ea6-b4de-c43e21be106d,1
