sk_cliente,sk_pais,sk_estado_cliente,sk_tiempo_cliente_desde,mrr,arr,cantidad_cliente,flag_cliente_pago,flag_activo,flag_cancelado,flag_past_due,riesgo_churn
1,1.0,1,4.0,0.0,0.0,1,0,0,1,0,Churned
2,1.0,2,5.0,12417.0,149004.0,1,1,1,0,0,Bajo
3,1.0,1,6.0,0.0,0.0,1,0,0,1,0,Churned
4,1.0,2,7.0,45000.0,540000.0,1,1,1,0,0,Bajo
5,1.0,1,13.0,0.0,0.0,1,0,0,1,0,Churned
6,1.0,1,20.0,0.0,0.0,1,0,0,1,0,Churned
7,1.0,1,22.0,0.0,0.0,1,0,0,1,0,Churned
8,1.0,1,23.0,0.0,0.0,1,0,0,1,0,Churned
9,1.0,3,25.0,25000.0,300000.0,1,1,0,0,1,Alto
10,1.0,2,28.0,9900.0,118800.0,1,1,1,0,0,Bajo
11,1.0,3,30.0,14900.0,178800.0,1,1,0,0,1,Alto
12,1.0,1,35.0,0.0,0.0,1,0,0,1,0,Churned
13,1.0,1,40.0,0.0,0.0,1,0,0,1,0,Churned
14,1.0,1,42.0,0.0,0.0,1,0,0,1,0,Churned
15,1.0,2,45.0,66666.0,799992.0,1,1,1,0,0,Bajo
16,1.0,1,47.0,0.0,0.0,1,0,0,1,0,Churned
17,1.0,1,47.0,0.0,0.0,1,0,0,1,0,Churned
18,1.0,2,48.0,14900.0,178800.0,1,1,1,0,0,Bajo
19,1.0,1,55.0,0.0,0.0,1,0,0,1,0,Churned
20,1.0,1,60.0,0.0,0.0,1,0,0,1,0,Churned
21,1.0,1,61.0,0.0,0.0,1,0,0,1,0,Churned
22,1.0,1,62.0,0.0,0.0,1,0,0,1,0,Churned
23,1.0,2,63.0,2400.0,28800.0,1,1,1,0,0,Bajo
24,1.0,1,63.0,0.0,0.0,1,0,0,1,0,Churned
25,1.0,1,65.0,0.0,0.0,1,0,0,1,0,Churned
26,1.0,1,66.0,0.0,0.0,1,0,0,1,0,Churned
27,2.0,1,67.0,0.0,0.0,1,0,0,1,0,Churned
28,1.0,1,71.0,0.0,0.0,1,0,0,1,0,Churned
29,1.0,1,78.0,0.0,0.0,1,0,0,1,0,Churned
30,1.0,1,90.0,0.0,0.0,1,0,0,1,0,Churned
31,1.0,1,91.0,0.0,0.0,1,0,0,1,0,Churned
32,1.0,1,96.0,0.0,0.0,1,0,0,1,0,Churned
33,1.0,1,100.0,0.0,0.0,1,0,0,1,0,Churned
34,1.0,1,105.0,0.0,0.0,1,0,0,1,0,Churned
35,1.0,2,105.0,40000.0,480000.0,1,1,1,0,0,Bajo
36,1.0,1,106.0,0.0,0.0,1,0,0,1,0,Churned
37,1.0,3,118.0,106750.0,1281000.0,1,1,0,0,1,Alto
38,1.0,1,120.0,0.0,0.0,1,0,0,1,0,Churned
39,1.0,1,120.0,0.0,0.0,1,0,0,1,0,Churned
40,2.0,1,125.0,0.0,0.0,1,0,0,1,0,Churned
41,1.0,1,134.0,0.0,0.0,1,0,0,1,0,Churned
42,1.0,1,135.0,0.0,0.0,1,0,0,1,0,Churned
43,1.0,1,137.0,0.0,0.0,1,0,0,1,0,Churned
44,1.0,1,150.0,0.0,0.0,1,0,0,1,0,Churned
45,1.0,2,150.0,14900.0,178800.0,1,1,1,0,0,Bajo
46,1.0,1,150.0,0.0,0.0,1,0,0,1,0,Churned
47,1.0,1,161.0,0.0,0.0,1,0,0,1,0,Churned
48,1.0,1,163.0,0.0,0.0,1,0,0,1,0,Churned
